track_id,clase,confianza_promedio,frames_visible,tiempo_visible_s,rois_visitadas,visitas__pasillo_norte,tiempo_s__pasillo_norte,visitas__bahias_centro,tiempo_s__bahias_centro,visitas__pasillo_sur,tiempo_s__pasillo_sur
1,car,0.6515,38,1.268,0,0,0.0,0,0.0,0,0.0
2,car,0.6658,5,0.167,0,0,0.0,0,0.0,0,0.0
3,car,0.5802,178,5.939,2,1,2.002,1,2.436,0,0.0
4,car,0.4339,6,0.2,0,0,0.0,0,0.0,0,0.0
5,car,0.4424,685,22.856,0,0,0.0,0,0.0,0,0.0
6,car,0.4452,25,0.834,0,0,0.0,0,0.0,0,0.0
7,car,0.4919,456,15.215,0,0,0.0,0,0.0,0,0.0
8,car,0.4344,663,22.122,1,0,0.0,10,25.359,0,0.0
9,car,0.4584,60,2.002,0,0,0.0,0,0.0,0,0.0
10,car,0.4692,840,28.028,0,0,0.0,0,0.0,0,0.0
11,car,0.4205,99,3.303,0,0,0.0,0,0.0,0,0.0
12,car,0.3992,22,0.734,0,0,0.0,0,0.0,0,0.0
13,car,0.367,2,0.067,0,0,0.0,0,0.0,0,0.0
14,car,0.3721,2,0.067,0,0,0.0,0,0.0,0,0.0
15,car,0.3851,29,0.968,0,0,0.0,0,0.0,0,0.0
16,car,0.3675,1,0.033,0,0,0.0,0,0.0,0,0.0
17,car,0.3719,8,0.267,1,0,0.0,1,0.3,0,0.0
19,car,0.5265,151,5.038,1,1,2.669,0,0.0,0,0.0
21,car,0.4068,6,0.2,0,0,0.0,0,0.0,0,0.0
23,car,0.4232,27,0.901,0,0,0.0,0,0.0,0,0.0
28,car,0.367,1,0.033,0,0,0.0,0,0.0,0,0.0
31,car,0.4426,2,0.067,0,0,0.0,0,0.0,0,0.0
32,car,0.4244,391,13.046,0,0,0.0,0,0.0,0,0.0
44,car,0.5327,41,1.368,0,0,0.0,0,0.0,0,0.0
45,car,0.4288,8,0.267,0,0,0.0,0,0.0,0,0.0
46,car,0.4045,21,0.701,0,0,0.0,0,0.0,0,0.0
47,car,0.3985,111,3.704,1,0,0.0,8,3.837,0,0.0
49,car,0.4051,19,0.634,0,0,0.0,0,0.0,0,0.0
54,car,0.4204,210,7.007,0,0,0.0,0,0.0,0,0.0
55,car,0.386,34,1.134,0,0,0.0,0,0.0,0,0.0
58,car,0.3777,144,4.805,1,0,0.0,8,4.972,0,0.0
61,car,0.4356,292,9.743,0,0,0.0,0,0.0,0,0.0
72,car,0.4007,391,13.046,0,0,0.0,0,0.0,0,0.0
74,car,0.5757,60,2.002,0,0,0.0,0,0.0,0,0.0
76,car,0.4653,25,0.834,0,0,0.0,0,0.0,0,0.0
77,car,0.4182,272,9.076,1,0,0.0,6,9.576,0,0.0
80,car,0.3781,11,0.367,1,0,0.0,1,0.434,0,0.0
82,car,0.3784,13,0.434,0,0,0.0,0,0.0,0,0.0
87,car,0.3883,3,0.1,1,0,0.0,1,0.1,0,0.0
89,car,0.4031,30,1.001,1,0,0.0,2,0.968,0,0.0
91,car,0.3842,9,0.3,1,0,0.0,1,0.267,0,0.0
95,car,0.3704,7,0.234,0,0,0.0,0,0.0,0,0.0
98,car,0.3928,16,0.534,0,0,0.0,0,0.0,0,0.0
103,car,0.5399,16,0.534,0,0,0.0,0,0.0,0,0.0
104,car,0.474,78,2.603,1,1,0.601,0,0.0,0,0.0
105,car,0.5436,44,1.468,1,0,0.0,1,1.502,0,0.0
110,car,0.5083,178,5.939,0,0,0.0,0,0.0,0,0.0
111,car,0.5281,10,0.334,0,0,0.0,0,0.0,0,0.0
113,car,0.4002,64,2.135,1,0,0.0,3,2.302,0,0.0
119,car,0.3689,6,0.2,0,0,0.0,0,0.0,0,0.0
123,car,0.6049,42,1.401,0,0,0.0,0,0.0,0,0.0
124,car,0.4477,36,1.201,1,3,1.568,0,0.0,0,0.0
129,car,0.3643,3,0.1,0,0,0.0,0,0.0,0,0.0
130,car,0.4872,39,1.301,0,0,0.0,0,0.0,0,0.0
132,car,0.3561,1,0.033,0,0,0.0,0,0.0,0,0.0
136,car,0.3762,9,0.3,1,0,0.0,1,0.2,0,0.0
137,car,0.3803,2,0.067,0,0,0.0,0,0.0,0,0.0
140,car,0.381,7,0.234,1,0,0.0,1,0.267,0,0.0
146,car,0.4115,13,0.434,0,0,0.0,0,0.0,0,0.0
149,car,0.3941,13,0.434,1,0,0.0,1,0.234,0,0.0
150,car,0.3848,2,0.067,0,0,0.0,0,0.0,0,0.0
151,car,0.3641,7,0.234,0,0,0.0,0,0.0,0,0.0
157,car,0.3694,2,0.067,0,0,0.0,0,0.0,0,0.0
159,car,0.3848,164,5.472,1,0,0.0,6,6.373,0,0.0
164,car,0.4138,46,1.535,0,0,0.0,0,0.0,0,0.0
168,car,0.4686,160,5.339,0,0,0.0,0,0.0,0,0.0
169,car,0.3794,6,0.2,0,0,0.0,0,0.0,0,0.0
174,car,0.3597,1,0.033,0,0,0.0,0,0.0,0,0.0
177,car,0.5513,381,12.713,3,1,1.935,3,9.943,1,2.202
178,car,0.4239,109,3.637,0,0,0.0,0,0.0,0,0.0
181,car,0.4084,1,0.033,0,0,0.0,0,0.0,0,0.0
183,car,0.5468,4,0.133,0,0,0.0,0,0.0,0,0.0
188,car,0.4914,12,0.4,1,1,0.434,0,0.0,0,0.0
193,car,0.3729,6,0.2,0,0,0.0,0,0.0,0,0.0
194,car,0.585,51,1.702,0,0,0.0,0,0.0,0,0.0
195,car,0.4369,34,1.134,2,1,0.801,1,0.3,0,0.0
199,car,0.4417,219,7.307,0,0,0.0,0,0.0,0,0.0
204,car,0.4723,93,3.103,1,1,0.701,0,0.0,0,0.0
206,car,0.5431,41,1.368,0,0,0.0,0,0.0,0,0.0
208,car,0.4641,5,0.167,0,0,0.0,0,0.0,0,0.0
212,car,0.5289,131,4.371,0,0,0.0,0,0.0,0,0.0
219,car,0.363,5,0.167,0,0,0.0,0,0.0,0,0.0
220,car,0.3879,8,0.267,0,0,0.0,0,0.0,0,0.0
222,car,0.6166,61,2.035,0,0,0.0,0,0.0,0,0.0
223,car,0.3883,88,2.936,1,0,0.0,5,3.537,0,0.0
225,car,0.3684,33,1.101,0,0,0.0,0,0.0,0,0.0
227,car,0.3751,9,0.3,0,0,0.0,0,0.0,0,0.0
228,car,0.6302,67,2.236,0,0,0.0,0,0.0,0,0.0
230,car,0.3953,10,0.334,0,0,0.0,0,0.0,0,0.0
232,car,0.4114,49,1.635,0,0,0.0,0,0.0,0,0.0
239,car,0.5407,11,0.367,0,0,0.0,0,0.0,0,0.0
240,car,0.5877,5,0.167,1,1,0.1,0,0.0,0,0.0
242,car,0.4206,78,2.603,0,0,0.0,0,0.0,0,0.0
244,car,0.4451,4,0.133,1,1,0.133,0,0.0,0,0.0
249,car,0.4535,115,3.837,0,0,0.0,0,0.0,0,0.0
252,car,0.606,35,1.168,0,0,0.0,0,0.0,0,0.0
259,car,0.4225,8,0.267,1,1,0.133,0,0.0,0,0.0
263,car,0.3775,11,0.367,1,0,0.0,1,0.634,0,0.0
268,car,0.4487,50,1.668,0,0,0.0,0,0.0,0,0.0
269,car,0.3821,9,0.3,0,0,0.0,0,0.0,0,0.0
270,car,0.3726,2,0.067,0,0,0.0,0,0.0,0,0.0
271,car,0.5381,83,2.769,1,1,0.601,0,0.0,0,0.0
277,car,0.5802,53,1.768,0,0,0.0,0,0.0,0,0.0
280,car,0.4143,15,0.501,0,0,0.0,0,0.0,0,0.0
285,car,0.4034,27,0.901,1,0,0.0,3,0.734,0,0.0
286,car,0.3708,14,0.467,1,0,0.0,1,0.334,0,0.0
288,car,0.3863,23,0.767,1,0,0.0,1,0.801,0,0.0
289,car,0.3695,5,0.167,0,0,0.0,0,0.0,0,0.0
296,car,0.3577,3,0.1,0,0,0.0,0,0.0,0,0.0
299,car,0.5079,62,2.069,1,1,0.167,0,0.0,0,0.0
302,car,0.3975,2,0.067,0,0,0.0,0,0.0,0,0.0
304,car,0.4425,8,0.267,0,0,0.0,0,0.0,0,0.0
314,car,0.3962,12,0.4,1,0,0.0,1,0.434,0,0.0
319,car,0.5206,19,0.634,0,0,0.0,0,0.0,0,0.0
324,car,0.3614,1,0.033,0,0,0.0,0,0.0,0,0.0
327,car,0.3857,8,0.267,0,0,0.0,0,0.0,0,0.0
329,car,0.6225,127,4.238,0,0,0.0,0,0.0,0,0.0
332,car,0.3877,4,0.133,0,0,0.0,0,0.0,0,0.0
333,car,0.528,97,3.237,1,1,3.47,0,0.0,0,0.0
334,car,0.3683,2,0.067,0,0,0.0,0,0.0,0,0.0
335,car,0.4127,133,4.438,1,0,0.0,3,4.671,0,0.0
339,car,0.3723,21,0.701,1,0,0.0,1,0.734,0,0.0
340,car,0.3744,24,0.801,1,0,0.0,1,1.235,0,0.0
341,car,0.4152,3,0.1,0,0,0.0,0,0.0,0,0.0
343,car,0.3934,116,3.871,0,0,0.0,0,0.0,0,0.0
345,car,0.5073,97,3.237,0,0,0.0,0,0.0,0,0.0
