track_id,clase,confianza_promedio,frame_primera_deteccion,frame_ultima_deteccion,tiempo_visible_s,roi_id,roi_nombre,visitas,frames_dentro,tiempo_en_roi_s,visita_mas_larga_s,frame_primera_entrada,frame_ultima_salida,alertas
3,car,0.5802,0,186,5.939,bahias_centro,Bahias de parqueo centrales,1,73,2.436,2.436,0,73.0,0
8,car,0.4344,0,858,22.122,bahias_centro,Bahias de parqueo centrales,10,760,25.359,5.372,0,859.0,0
17,car,0.3719,0,16,0.267,bahias_centro,Bahias de parqueo centrales,1,9,0.3,0.3,8,17.0,0
47,car,0.3985,12,318,3.704,bahias_centro,Bahias de parqueo centrales,8,115,3.837,1.335,31,319.0,0
58,car,0.3777,18,514,4.805,bahias_centro,Bahias de parqueo centrales,8,149,4.972,1.468,43,492.0,0
77,car,0.4182,32,388,9.076,bahias_centro,Bahias de parqueo centrales,6,287,9.576,4.104,32,389.0,0
80,car,0.3781,33,45,0.367,bahias_centro,Bahias de parqueo centrales,1,13,0.434,0.434,33,46.0,0
87,car,0.3883,37,39,0.1,bahias_centro,Bahias de parqueo centrales,1,3,0.1,0.1,37,40.0,0
89,car,0.4031,37,112,1.001,bahias_centro,Bahias de parqueo centrales,2,29,0.968,0.567,52,107.0,0
91,car,0.3842,43,70,0.3,bahias_centro,Bahias de parqueo centrales,1,8,0.267,0.267,43,51.0,0
105,car,0.5436,63,107,1.468,bahias_centro,Bahias de parqueo centrales,1,45,1.502,1.502,63,108.0,0
113,car,0.4002,69,217,2.135,bahias_centro,Bahias de parqueo centrales,3,69,2.302,1.068,69,201.0,0
136,car,0.3762,95,144,0.3,bahias_centro,Bahias de parqueo centrales,1,6,0.2,0.2,95,101.0,0
140,car,0.381,102,112,0.234,bahias_centro,Bahias de parqueo centrales,1,8,0.267,0.267,105,113.0,0
149,car,0.3941,113,143,0.434,bahias_centro,Bahias de parqueo centrales,1,7,0.234,0.234,128,135.0,0
159,car,0.3848,129,402,5.472,bahias_centro,Bahias de parqueo centrales,6,191,6.373,4.338,132,403.0,0
177,car,0.5513,155,622,12.713,bahias_centro,Bahias de parqueo centrales,3,298,9.943,5.072,165,556.0,0
195,car,0.4369,167,208,1.134,bahias_centro,Bahias de parqueo centrales,1,9,0.3,0.3,172,181.0,0
223,car,0.3883,193,367,2.936,bahias_centro,Bahias de parqueo centrales,5,106,3.537,1.235,210,368.0,0
263,car,0.3775,229,247,0.367,bahias_centro,Bahias de parqueo centrales,1,19,0.634,0.634,229,248.0,0
285,car,0.4034,245,318,0.901,bahias_centro,Bahias de parqueo centrales,3,22,0.734,0.334,250,295.0,0
286,car,0.3708,245,269,0.467,bahias_centro,Bahias de parqueo centrales,1,10,0.334,0.334,249,259.0,0
288,car,0.3863,251,274,0.767,bahias_centro,Bahias de parqueo centrales,1,24,0.801,0.801,251,275.0,0
314,car,0.3962,286,298,0.4,bahias_centro,Bahias de parqueo centrales,1,13,0.434,0.434,286,299.0,0
335,car,0.4127,323,524,4.438,bahias_centro,Bahias de parqueo centrales,3,140,4.671,3.136,360,525.0,0
339,car,0.3723,326,362,0.701,bahias_centro,Bahias de parqueo centrales,1,22,0.734,0.734,334,356.0,0
340,car,0.3744,326,362,0.801,bahias_centro,Bahias de parqueo centrales,1,37,1.235,1.235,326,363.0,0
383,car,0.3748,371,373,0.1,bahias_centro,Bahias de parqueo centrales,1,3,0.1,0.1,371,374.0,0
422,car,0.3703,414,442,0.767,bahias_centro,Bahias de parqueo centrales,1,29,0.968,0.968,414,443.0,0
428,car,0.3805,419,490,1.101,bahias_centro,Bahias de parqueo centrales,3,37,1.235,0.634,421,473.0,0
447,car,0.3792,429,431,0.1,bahias_centro,Bahias de parqueo centrales,1,3,0.1,0.1,429,432.0,0
449,car,0.5542,430,572,3.604,bahias_centro,Bahias de parqueo centrales,3,102,3.403,1.768,436,573.0,0
451,car,0.3869,430,447,0.467,bahias_centro,Bahias de parqueo centrales,1,18,0.601,0.601,430,448.0,0
462,car,0.4009,439,807,7.307,bahias_centro,Bahias de parqueo centrales,7,248,8.275,4.304,462,808.0,0
478,car,0.5355,451,631,4.972,bahias_centro,Bahias de parqueo centrales,1,160,5.339,5.339,472,632.0,0
479,car,0.4046,451,470,0.567,bahias_centro,Bahias de parqueo centrales,1,18,0.601,0.601,453,471.0,0
485,car,0.405,454,536,2.469,bahias_centro,Bahias de parqueo centrales,1,76,2.536,2.536,454,530.0,0
490,car,0.6516,458,558,3.237,bahias_centro,Bahias de parqueo centrales,1,67,2.236,2.236,488,555.0,0
518,car,0.3752,478,500,0.267,bahias_centro,Bahias de parqueo centrales,1,5,0.167,0.167,480,485.0,0
543,car,0.3828,491,624,1.001,bahias_centro,Bahias de parqueo centrales,2,36,1.201,0.901,496,587.0,0
571,car,0.5973,503,862,10.344,bahias_centro,Bahias de parqueo centrales,1,24,0.801,0.801,651,675.0,0
572,car,0.372,503,507,0.133,bahias_centro,Bahias de parqueo centrales,1,5,0.167,0.167,503,508.0,0
575,car,0.4168,508,544,0.534,bahias_centro,Bahias de parqueo centrales,1,12,0.4,0.4,533,545.0,0
579,car,0.4559,516,586,1.034,bahias_centro,Bahias de parqueo centrales,2,44,1.468,0.834,528,587.0,0
580,car,0.3909,516,521,0.2,bahias_centro,Bahias de parqueo centrales,1,6,0.2,0.2,516,522.0,0
624,car,0.3886,564,863,5.572,bahias_centro,Bahias de parqueo centrales,8,182,6.073,2.169,564,842.0,0
641,car,0.6129,583,684,3.303,bahias_centro,Bahias de parqueo centrales,1,77,2.569,2.569,597,674.0,0
649,car,0.4985,590,600,0.167,bahias_centro,Bahias de parqueo centrales,1,5,0.167,0.167,590,595.0,0
656,car,0.3946,600,824,3.07,bahias_centro,Bahias de parqueo centrales,6,89,2.97,1.535,635,825.0,0
687,car,0.3784,648,752,1.401,bahias_centro,Bahias de parqueo centrales,2,55,1.835,0.934,682,753.0,0
695,car,0.4159,660,816,4.004,bahias_centro,Bahias de parqueo centrales,3,126,4.204,3.504,671,817.0,0
